농월정,고도(농월정),농월정_1,깊이(농월정),농월정_2,경사도(농월정),옥계리,고도(옥계리),옥계리_1,깊이(옥계리),옥계리_2,경사도(옥계리),용추,고도(용추),용추_1,깊이(용추),용추_2,경사도(용추),신선계곡,고도(신선계곡),신선계곡_1,깊이(신선계곡),신선계곡_2,경사도(신선계곡),하옥계곡,고도(하옥계곡),하옥계곡_1,깊이(하옥계곡),하옥계곡_2,경사도(하옥계곡),요강소,고도(요강소),요강소_1,깊이(요강소),요강소_2,경사도(요강소),용소폭포,고도(용소폭포),용소폭포_1,깊이(용소폭포),용소폭포_2,경사도(용소폭포)
1683.138556,215.1098633,814.9991799,262.572113,814.9991799,0,744.2738788,169.7557373,671.7143595,212.5135956,671.7143595,0,986.7958561,173.6923676,837.1276393,141.9593048,837.1276393,8.159000397,852.4375892,142.3779602,691.243045,94.63739777,691.243045,4.763599873,,,,,,,530.7993926,377.4672241,505.8861208,105.5677032,505.8861208,0.95480001,1742.075178,223.7917786,839.9382924,229.7364044,839.9382924,6.091499805
1766.925754,214.2159271,856.629005,262.3836975,856.629005,0,796.022926,178.9057465,722.5716588,218.1289978,722.5716588,0,1032.270861,173.6923676,884.8477971,146.4738007,884.8477971,2.862400055,906.4188554,142.3779602,715.5523209,116.8638992,715.5523209,0,,,,,,,534.6804705,377.4672241,516.9472646,105.5677032,516.9472646,0.95480001,1775.004666,223.7917786,888.8268292,368.1051025,888.8268292,1.350200057
,,898.2588302,262.3836975,898.2588302,0,887.0621132,159.8742676,744.2738788,212.0503998,744.2738788,0,1039.164117,173.6923676,941.1983865,153.386795,941.1983865,0,996.5968567,140.4199829,756.0200131,136.2830048,756.0200131,0,,,,,,,547.4930059,371.7913513,524.6440891,105.5677032,524.6440891,0.95480001,1809.721941,223.7917786,937.7153659,364.8127136,937.7153659,0
,,936.9505197,254.6217957,936.9505197,0,941.4115252,171.2908478,796.022926,173.3896942,796.022926,0,1080.613444,195.6439514,986.7958561,148.0039978,986.7958561,0,1086.092643,137.1780701,804.2288012,135.8300934,804.2288012,0,,,,,,,559.0003776,371.7913513,530.7993926,105.5677032,530.7993926,0.95480001,1856.671299,230.8591156,986.6039027,355.0700989,986.6039027,0
,,975.6422093,243.601593,975.6422093,0.95480001,1087.727906,167.5424194,841.5425196,172.7799072,841.5425196,1.909199953,1101.405268,177.1532745,1032.270861,140.4098969,1032.270861,0.95480001,1189.604854,135.7997589,852.4375892,134.4559021,852.4375892,0.95480001,,,,,,,572.1068269,371.7913513,534.6804705,94.44020081,534.6804705,0.95480001,1970.555078,224.129303,1031.154388,380.2625122,1031.154388,0
,,1014.333899,190.0646973,1014.333899,5.550700188,1100.748536,163.8465576,887.0621132,117.2136002,887.0621132,1.909199953,1151.131938,177.1532745,1039.164117,140.4098969,1039.164117,0.95480001,,,906.4188554,134.4136047,906.4188554,0,,,,,,,606.4735388,371.7913513,547.4930059,112.4023972,547.4930059,2.698999882,2077.50713,228.5375824,1075.704873,358.21521,1075.704873,0
,,1053.025588,124.0805969,1053.025588,6.853199959,1124.805955,163.8465576,941.4115252,182.0641022,941.4115252,0.95480001,1183.677273,198.4181976,1080.613444,117.082901,1080.613444,20.99160004,,,951.5078561,118.3511963,951.5078561,2.134299994,,,,,,,629.1039175,384.8405457,559.0003776,112.4023972,559.0003776,0,2166.278762,212.7798157,1111.824021,387.0487976,1111.824021,0
,,1091.717278,116.4293976,1091.717278,6.853199959,1137.991875,163.8465576,977.9906203,195.144104,977.9906203,0.95480001,1258.261827,167.080368,1101.405268,79.66040039,1101.405268,8.735699654,,,996.5968567,97.44390106,996.5968567,6.918200016,,,,,,,661.0760821,365.6094971,572.1068269,89.00730133,572.1068269,2.698999882,2204.013335,223.1768799,1147.943169,363.539093,1147.943169,0
,,1130.408967,134.0787964,1130.408967,5.386000156,1170.253375,163.8465576,1014.569715,208.6027069,1014.569715,0,1275.13302,167.080368,1151.131938,62.09700012,1151.131938,30.4185009,,,1041.34475,89.37719727,1041.34475,8.582500458,,,,,,,681.2970544,365.6094971,606.4735388,60.11050034,606.4735388,5.550700188,2240.856523,211.3298187,1184.062317,346.583313,1184.062317,0.95480001
,,1183.598231,219.4481964,1183.598231,3.01699996,1203.91661,163.8465576,1051.14881,219.995697,1051.14881,0,1296.149927,167.080368,1183.677273,96.09490204,1183.677273,18.30540085,,,1086.092643,105.4215012,1086.092643,7.652999878,,,,,,,711.5358525,365.6094971,629.1039175,60.11050034,629.1039175,14.27359962,2330.178017,212.126358,1220.181464,376.7655945,1220.181464,0
