wtrplay_plc_nm,ctprvn_nm,sgg_nm,emd_nm,detail_plcnm,adres,wtrplay_plc_type,wtrplay_sec,wtrplay_deep,wtrplay_deep_avg,year_visitor,acdt_co,x,y,manage_type,manage_at
남창계곡,전라남도,장성군,북하면,형제농원 앞,전라남도 장성군 북하면 신성리 464,계곡,500,1,1,8,0,14119826.77,4226691.662,일반지역,2
동창천(3),경상북도,경주시,산내면,그린하우스앞,경상북도 경주시 산내면 대현리 494-1,계곡,100,2,1,5,0,14367487.3,4262634.088,중점관리지역,1
동창천(4),경상북도,경주시,산내면,태종계곡,경상북도 경주시 산내면 대현리 109,계곡,100,2,1,4,0,14368873.35,4259540.788,중점관리지역,1
용담계곡1,경상북도,안동시,길안면,용담계곡1,경상북도 안동시 길안면 금곡리 산162,계곡,30,1,1,2,0,14350272.5,4353219.894,중점관리지역,1
용담계곡2,경상북도,안동시,길안면,용담계곡2,경상북도 안동시 길안면 금곡리 601,계곡,30,1,1,0,0,14350655.37,4353825.631,중점관리지역,1
용담계곡3,경상북도,안동시,길안면,용담계곡3,경상북도 안동시 길안면 금곡리 91,계곡,30,1,1,3,1,14351307.71,4354315.409,중점관리지역,1
용담사,경상북도,안동시,길안면,용담사,경상북도 안동시 길안면 금곡리 83-1,계곡,20,1,1,3,0,14351877.52,4354344.836,중점관리지역,1
치산계곡상류,경상북도,영천시,신녕면,치산계곡,경상북도 영천시 신녕면 치산리 1323,계곡,650,1,1,1,0,14328224.02,4307406.217,일반지역,2
치산계곡하류,경상북도,영천시,신녕면,부산교밑,경상북도 영천시 신녕면 치산리 산193,계곡,50,1,1,1,0,14330376.06,4309362.189,일반지역,2
백화산계곡,경상북도,상주시,모동면,용추폭포옆,경상북도 상주시 모동면 수봉리 산92,계곡,30,4,2,10,0,14241684.39,4342829.599,중점관리지역,1
성주봉휴양림,경상북도,상주시,은척면,휴양림 물놀이장,경상북도 상주시 은척면 남곡리 산50,계곡,200,2,1,10,0,14253455.85,4373951.386,일반지역,2
청계사계곡,경상북도,상주시,화서면,청계사-맑은개울 캠핑장 인근 계곡,경상북도 상주시 화서면 하송리 412,계곡,80,2,1,3,1,14244227.04,4367918.809,중점관리지역,1
용추계곡,경상북도,문경시,가은읍,용추골천,경상북도 문경시  가은읍  완장리 산 65,계곡,30,3,1,9,0,14244684.31,4393056.1,일반지역,2
사우정,경상북도,문경시,농암면,쌍용계곡,경상북도 문경시  농암면  내서리 770,계곡,60,2,1,2,1,14245387.73,4378355.052,일반지역,2
무당소,경상북도,문경시,가은읍,용추골천,경상북도 문경시  가은읍  완장리 471-2,계곡,10,2,2,7,0,14244472.49,4393318.671,일반지역,2
